Episode,Total Return
1,-2750.6750605930033
2,-2813.619260765608
3,-1569.3741256286546
4,-2709.2459927158548
5,-1618.8736015836691
6,-2692.6236757310535
7,-1593.6825873573096
8,-1646.7901773185838
9,-2612.0276175925687
10,-2576.969338166758
11,-2019.899431413647
12,-2865.12321548503
13,-2178.7439182426997
14,-1678.004921657999
15,-1562.3994819846723
16,-2657.1928129947632
17,-2376.892891736263
18,-1571.376387513609
19,-1749.42711360949
20,-2355.8163977224253
21,-2260.400258339114
22,-1987.4787152627441
23,-2467.603954155701
24,-2225.2647883932354
25,-1609.1320116760426
26,-2062.043677745479
27,-2033.6240919127724
28,-1505.6273657455984
29,-2277.2927100818624
30,-2684.189421087144
31,-2444.4299110688185
32,-2019.2145182717616
33,-2603.3850807897334
34,-2707.715676157244
35,-1289.1402116929744
36,-1793.765615571865
37,-2156.5015551816
38,-2415.7309482502956
39,-1990.0855176091488
40,-2761.666044628452
41,-1942.7170315768383
42,-2882.4569495219007
43,-1570.2322239916637
44,-2612.21390206658
45,-1998.286904604155
46,-2662.4472435843963
47,-1828.772099034243
48,-1796.2931217695827
49,-1890.4912384186061
50,-1677.738558191857
51,-1539.3193979984537
52,-2304.7265819279196
53,-1763.8295109203038
54,-1023.0069054169028
55,-1983.1195609153897
56,-2658.740616878485
57,-1494.75896441456
58,-2356.863919400165
59,-1264.546516427156
60,-2576.8252804295867
61,-1214.621577560455
62,-1655.8958511852102
63,-1174.196038531654
64,-1895.343314538177
65,-2117.3885514820195
66,-1467.59118814214
67,-2323.301970402779
68,-1583.3414595316863
69,-2275.773734100151
70,-2302.617327516997
71,-1616.760519422318
72,-1790.8921267679807
73,-2176.2957301788465
74,-1070.2518966974437
75,-1873.78420263111
76,-1675.881690180938
77,-1291.3323230580052
78,-1435.694427623409
79,-2139.8687858374965
80,-2101.854240179447
81,-1512.2942083657217
82,-1603.9811359084763
83,-1393.2505147277022
84,-2285.92846357041
85,-1611.8911539659446
86,-2486.9074734921737
87,-2051.6484923846133
88,-2620.167245644432
89,-1559.73035727224
90,-1157.783789761986
91,-1298.0343658881736
92,-896.9729877702667
93,-1672.1442742367356
94,-1599.4470129579834
95,-1301.4404816584856
96,-1832.1577848546312
97,-1107.8207776641154
98,-1574.7579619437306
99,-1682.7300961521848
100,-1896.6839082304502
101,-2190.7848032899315
102,-2422.3119930652924
103,-1115.3077266575124
104,-1603.4299204064878
105,-1782.7235241380506
106,-957.209622055636
107,-1087.6851173514463
108,-1371.5170857806568
109,-1350.080671300429
110,-912.855640121909
111,-809.4327535399609
112,-740.7220614453576
113,-1575.2287109500005
114,-1474.5358632265456
115,-720.9140513397219
116,-1170.8069571072056
117,-859.1251730839166
118,-420.1769985220978
119,-1162.731456424368
120,-1306.5799767620244
121,-746.3621449684283
122,-1135.519131618342
123,-1399.4042665478437
124,-1024.6038452544024
125,-594.0387135439653
126,-1461.7315984881839
127,-1264.9308271871323
128,-1541.899711195708
129,-848.5701982599256
130,-1361.2083629432211
131,-956.6284443732912
132,-1128.7944042258666
133,-844.8205769033601
134,-1459.730479231893
135,-650.5831358762794
136,-338.7538482921931
137,-818.2131018550248
138,-998.9364541625514
139,-789.5892638911807
140,-1112.8477951431182
141,-1268.9465582982211
142,-705.3191456220966
143,-537.3006711127699
144,-921.1029200898482
145,-1348.2527578035115
146,-1000.7009101477826
147,-470.83995660387137
148,-646.7608297587956
149,-736.3349858134306
150,-320.815672265361
151,-250.9533538056908
152,-1959.129726528859
153,-387.69013183014994
154,-643.3825771197064
155,-882.3698721609842
156,-220.62310554374702
157,-434.077764904061
158,-1091.4935244734968
159,-708.4609538061276
160,-597.8095641883357
